client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gender,num_accounts,balance,calls_6_mnth,logons_6_mnth,age_group,tenure_group
8849156,49.0,589.0,79.0,M,2.0,35453.84,2.0,5.0,older,long stand
6689315,49.0,593.0,68.0,M,3.0,1688297.79,6.0,9.0,older,long stand
5001831,48.0,576.0,42.0,F,2.0,67301.31,0.0,3.0,adulthood,long stand
6109388,48.0,576.0,42.0,M,2.0,187007.29,5.0,8.0,adulthood,long stand
7297910,48.0,576.0,45.0,M,2.0,151921.4,2.0,6.0,adulthood,long stand
1336,48.0,576.0,42.0,M,4.0,130537.18,6.0,9.0,adulthood,long stand
9120385,48.0,576.0,43.0,M,4.0,896608.18,6.0,9.0,adulthood,long stand
3025507,48.0,581.0,45.0,M,3.0,104398.94,4.0,7.0,adulthood,long stand
9124539,48.0,586.0,75.0,M,2.0,106112.07,7.0,7.0,older,long stand
2917506,48.0,576.0,37.5,F,2.0,396601.29,4.0,4.0,adulthood,long stand
1076556,48.0,576.0,66.5,M,2.0,137943.99,0.0,3.0,older,long stand
3150084,48.0,576.0,40.0,F,4.0,949682.15,7.0,7.0,adulthood,long stand
7226534,48.0,585.0,71.0,F,2.0,30451.32,3.0,6.0,older,long stand
8498010,48.0,576.0,70.0,F,2.0,420411.87,6.0,9.0,older,long stand
4128254,48.0,576.0,44.5,M,4.0,1084066.72,7.0,7.0,adulthood,long stand
4055095,48.0,576.0,64.5,M,2.0,1445198.44,4.0,8.0,older,long stand
2319496,48.0,576.0,42.5,M,3.0,260086.66,6.0,9.0,adulthood,long stand
8207265,48.0,576.0,77.0,F,2.0,114365.15,1.0,4.0,older,long stand
7107386,47.0,569.0,59.0,F,4.0,702465.04,2.0,5.0,older,long stand
6208399,47.0,569.0,36.5,U,3.0,225736.53,3.0,7.0,adulthood,long stand
5371570,47.0,564.0,71.0,F,2.0,130341.92,5.0,8.0,older,long stand
8517194,47.0,569.0,38.5,M,2.0,189727.49,3.0,3.0,adulthood,long stand
1308328,47.0,571.0,65.5,F,2.0,137880.02000000002,2.0,5.0,older,long stand
9778461,47.0,569.0,63.0,F,2.0,27203.17,3.0,6.0,older,long stand
6815257,46.0,554.0,72.5,M,2.0,92157.08,1.0,4.0,older,long stand
6621477,46.0,563.0,74.5,M,2.0,94311.01,0.0,3.0,older,long stand
9825378,46.0,554.0,58.5,F,2.0,952148.59,1.0,4.0,older,long stand
6608062,46.0,562.0,62.0,M,4.0,743208.67,6.0,9.0,older,long stand
4552154,46.0,561.0,85.0,M,3.0,1161857.61,6.0,9.0,older,long stand
754987,45.0,550.0,70.0,F,2.0,93784.69,3.0,6.0,older,long stand
1313617,44.0,535.0,61.5,M,3.0,1874019.73,7.0,7.0,older,long stand
3265750,44.0,532.0,18.0,M,3.0,45575.97,3.0,6.0,youth,long stand
9899911,44.0,539.0,49.0,F,2.0,148363.93,2.0,5.0,adulthood,long stand
2391446,43.0,516.0,45.0,M,4.0,434994.56,7.0,7.0,adulthood,long stand
60483,43.0,516.0,52.5,M,2.0,25984.77,1.0,4.0,older,long stand
3502301,43.0,526.0,33.5,M,2.0,25070.4,6.0,9.0,adulthood,long stand
1245728,43.0,516.0,59.0,M,3.0,639193.4600000001,5.0,8.0,older,long stand
5951041,43.0,516.0,24.5,M,4.0,257539.33,7.0,7.0,youth,long stand
2406074,43.0,516.0,73.5,M,2.0,137977.78999999998,5.0,8.0,older,long stand
3859749,42.0,511.0,70.5,F,4.0,410551.0,3.0,6.0,older,long stand
4062529,42.0,507.0,65.5,F,2.0,38814.25,0.0,3.0,older,long stand
5584826,42.0,509.0,62.0,F,2.0,177062.0,5.0,5.0,older,long stand
2285566,42.0,504.0,63.0,U,3.0,380697.56,6.0,9.0,older,long stand
2470928,42.0,507.0,76.0,F,2.0,310946.0,5.0,5.0,older,long stand
2448097,42.0,512.0,60.0,M,2.0,40164.16,1.0,4.0,older,long stand
2488007,41.0,492.0,78.0,F,2.0,26892.54,6.0,9.0,older,long stand
5914420,40.0,482.0,48.0,U,2.0,1246088.51,5.0,8.0,adulthood,long stand
4446745,40.0,483.0,67.5,M,2.0,49383.67999999999,6.0,9.0,older,long stand
7296650,40.0,481.0,64.5,F,2.0,164476.43,2.0,5.0,older,long stand
5743376,40.0,485.0,66.5,M,3.0,3228350.47,6.0,9.0,older,long stand
7350966,40.0,482.0,65.0,M,2.0,174743.59999999998,1.0,4.0,older,long stand
2159337,40.0,480.0,56.0,M,2.0,23539.009999999995,7.0,7.0,older,long stand
628058,40.0,484.0,62.5,U,2.0,219722.01,4.0,7.0,older,long stand
1580440,40.0,482.0,66.0,M,3.0,290571.83,5.0,8.0,older,long stand
7029015,40.0,485.0,68.5,M,3.0,113038.63,5.0,5.0,older,long stand
7920414,39.0,472.0,59.5,M,2.0,119141.12,2.0,5.0,older,long stand
3384291,39.0,468.0,61.5,M,4.0,151435.90000000002,3.0,3.0,older,long stand
4884909,39.0,475.0,67.5,F,3.0,973053.18,0.0,4.0,older,long stand
1344813,39.0,479.0,58.5,M,6.0,343093.83,7.0,7.0,older,long stand
3398321,39.0,468.0,86.0,M,2.0,81241.54999999999,6.0,9.0,older,long stand
922832,39.0,473.0,71.0,M,3.0,2392409.58,4.0,8.0,older,long stand
8279920,39.0,469.0,68.5,F,2.0,263274.75,4.0,7.0,older,long stand
7411821,39.0,479.0,56.5,M,4.0,1316854.11,3.0,6.0,older,long stand
9554608,39.0,472.0,84.0,M,2.0,120426.05,3.0,6.0,older,long stand
6938743,38.0,463.0,62.0,F,3.0,282671.57,5.0,8.0,older,long stand
750370,38.0,464.0,61.0,F,4.0,184845.54,3.0,6.0,older,long stand
1665967,38.0,464.0,57.0,F,2.0,36036.95,0.0,3.0,older,long stand
8188609,38.0,456.0,68.5,M,2.0,24677.17,3.0,6.0,older,long stand
9791537,38.0,459.0,71.0,M,3.0,52537.02,6.0,9.0,older,long stand
4221751,38.0,464.0,58.0,M,2.0,95325.55,0.0,3.0,older,long stand
6844346,38.0,461.0,61.0,M,2.0,218215.73,6.0,9.0,older,long stand
9690122,38.0,462.0,72.0,M,3.0,408325.95,7.0,7.0,older,long stand
9286288,21.0,254.0,62.5,M,3.0,16320040.15,6.0,9.0,older,long stand
8339240,6.0,80.0,26.5,M,2.0,12838418.01,3.0,3.0,youth,new
7070097,11.0,133.0,53.0,M,2.0,8986419.77,6.0,9.0,older,mid stand
9440656,7.0,94.0,63.0,F,2.0,8292996.21,6.0,9.0,older,new
2291985,7.0,85.0,41.0,M,2.0,8247729.97,1.0,4.0,adulthood,new
1678193,24.0,299.0,65.5,M,3.0,8137343.24,6.0,9.0,older,long stand
6762377,16.0,193.0,41.5,F,3.0,8045102.6,6.0,9.0,adulthood,mid stand
3519657,18.0,218.0,66.5,M,6.0,7741994.01,6.0,9.0,older,mid stand
987970,14.0,179.0,74.5,M,3.0,7339443.17,4.0,9.0,older,mid stand
857273,31.0,376.0,56.5,M,5.0,6716305.28,6.0,9.0,older,long stand
5939963,24.0,289.0,62.5,M,3.0,6628686.47,5.0,5.0,older,long stand
7959723,21.0,261.0,56.5,M,3.0,6566425.13,7.0,7.0,older,long stand
3559689,29.0,352.0,73.5,M,4.0,6387060.94,5.0,5.0,older,long stand
9290030,28.0,341.0,67.5,M,4.0,6353000.43,5.0,8.0,older,long stand
5735570,37.0,451.0,73.0,M,3.0,6000386.82,6.0,9.0,older,long stand
3545814,13.0,163.0,59.0,M,3.0,5754204.68,6.0,9.0,older,mid stand
8056743,13.0,160.0,63.0,M,3.0,5745578.16,7.0,7.0,older,mid stand
2243576,11.0,136.0,62.0,M,2.0,5544842.49,6.0,9.0,older,mid stand
8700059,11.0,132.0,65.0,M,2.0,5439354.9,3.0,6.0,older,mid stand
6765532,28.0,336.0,56.0,M,3.0,5187970.13,5.0,8.0,older,long stand
5799151,21.0,254.0,56.0,M,3.0,5137641.69,6.0,9.0,older,long stand
8841326,32.0,391.0,60.5,F,2.0,5085307.11,6.0,9.0,older,long stand
9848978,6.0,78.0,38.5,U,3.0,4862430.04,6.0,9.0,adulthood,new
8962152,11.0,141.0,57.5,M,2.0,4753214.1,6.0,9.0,older,mid stand
6981798,9.0,108.0,44.5,M,3.0,4739012.27,4.0,7.0,adulthood,new
7991760,30.0,363.0,53.0,M,3.0,4730367.72,6.0,9.0,older,long stand
2935280,30.0,370.0,66.5,M,4.0,4691835.72,7.0,7.0,older,long stand
1310232,4.0,58.0,53.0,M,2.0,4684076.16,7.0,7.0,older,new
4179430,9.0,117.0,66.5,M,2.0,4635079.65,6.0,9.0,older,new
9990452,27.0,335.0,35.5,M,3.0,4607206.68,5.0,8.0,adulthood,long stand
606032,14.0,178.0,66.0,M,3.0,4555876.35,6.0,9.0,older,mid stand
9578246,12.0,150.0,57.5,M,3.0,4524462.7,3.0,6.0,older,mid stand
6146018,24.0,288.0,54.0,F,5.0,4522753.41,4.0,4.0,older,long stand
6271257,22.0,269.0,54.5,M,3.0,4520925.83,6.0,9.0,older,long stand
3759883,13.0,164.0,62.5,F,3.0,4479344.82,6.0,9.0,older,mid stand
9362246,32.0,394.0,60.5,M,4.0,4477199.95,6.0,9.0,older,long stand
129659,15.0,182.0,67.5,M,3.0,4467812.83,6.0,9.0,older,mid stand
2289261,6.0,79.0,38.5,M,2.0,4466421.83,6.0,9.0,adulthood,new
4121411,17.0,213.0,62.5,F,3.0,4452908.73,7.0,7.0,older,mid stand
3620034,6.0,72.0,55.5,M,4.0,4422127.11,6.0,7.0,older,new
6266083,13.0,156.0,36.5,M,2.0,4419093.17,2.0,2.0,adulthood,mid stand
6967120,21.0,260.0,68.5,M,3.0,4279873.38,6.0,9.0,older,long stand
937877,25.0,303.0,54.5,M,4.0,4269751.96,6.0,9.0,older,long stand
2245262,18.0,225.0,72.5,M,4.0,4180554.55,6.0,9.0,older,mid stand
3840858,9.0,114.0,54.0,F,2.0,4164156.15,5.0,8.0,older,new
8009251,23.0,282.0,49.5,M,3.0,4147829.56,7.0,7.0,adulthood,long stand
6076924,18.0,225.0,59.5,M,4.0,4024657.4,2.0,6.0,older,mid stand
1270300,23.0,287.0,56.0,F,3.0,4011854.79,5.0,8.0,older,long stand
2220861,11.0,134.0,70.0,M,2.0,3990453.14,6.0,9.0,older,mid stand
7776888,28.0,341.0,59.0,F,2.0,3986272.4,6.0,9.0,older,long stand
6751153,29.0,357.0,51.0,M,3.0,3981706.33,7.0,7.0,older,long stand
8591099,29.0,348.0,65.0,M,3.0,3933502.78,4.0,8.0,older,long stand
